Node,Page Rank,Frequency,Follower Count,Timestamp,Conflation
Yer the pubs Community is cancer thats why ive join the,0.007111997143703993,1,197,"1425178344
",97
LOL you don't even play AW anymore,0.0032242786945188783,1,1690,"1429063708
",50
hell no,0.0009388051759687951,1,3751,"1428937238
",2
I can't wait till i get home,0.004334581923843539,1,270,"1431956725
",79
ignore for,0.00227106528086373,2,946,"1428897699
",20
Welcome to the #DestinyMovement2015 and the PS4 god console club,0.009552429793758215,1,3752,"1429065095
",129
Why is my hunter on house arrest? She ain't allowed to leave the tower #DestinyMovement2015 #Destiny http:\/\/t.co\/QTfRjU4AdR,0.008709703606929124,1,431,"1424785947
",155
those days may never happen again. it's a new era,0.002903054759730861,1,3682,"1425329356
",55
she plays destiny guardian I think it's time guardian,0.004089906761346658,1,225,"1425861371
",76
Nearly everyone in the #destinymovement2015 is diers and think they can do shit smh,0.006019044460802063,4,198,"1430863946
",126
can I join,0.004683513194949793,1,184,"1426466434
",54
I didn't lol u tweeted me #destinymovement2015 and I blocked u remember? when u block someone it unfollows,0.005342297974114387,1,867,"1426884682
",107
Anybody down to play destiny with me#Destiny community #destinythegame #Destiny #DestinyMovement2015 gamer tag and bio looking for y'all,0.006064181359589209,1,368,"1435126792
",126
2 more days until,0.0012685705174050402,1,684,"1431914609
",8
"Excellence wants destiny, so he can be like one of those nerds, and in like a week he'll have #DestinyMovement2015 as his name...",0.004822920035220391,1,283,"1426981563
",128
I'm still in shock that Defiant got the hawkmoon.,0.006412236608052421,1,959,"1427248702
",118
Peep the new name,0.005304178752955108,1,1701,"1427100043
",78
"All I'm saying is, if this game doesn't have supply drops i'm moving to Destiny. 100%.#N##N#",0.006519391432164547,5,309,"1430147064
",140
http:\\/\\/t.co\\/ycvnkckley,0.0007934408886570524,1,407,"1416916535
",0
if in #DestinyMovement2015 http:\/\/t.co\/XJ7437bhJI,0.007314130288279028,50,942,"1430065105
",91
"COD community is a mess, glad I'm moving out now.",0.004813758040554693,1,1675,"1426639115
",95
The Grind is real for these keys,0.0035353337075530117,1,275,"1433122573
",54
Getting on Destiny For some new content soon to come,0.003725139873731692,3,0,"1431116714
",66
Thank god I made the right decision :),0.005807950568241717,1,3500,"1425355898
",98
In 40 mins ima be on the Destiny Gring,0.00541230728230431,1,529,"1425826446
",102
Someone is interested in buying my X1 :D#N#PS4 grind soon,0.003932656304872799,1,1669,"1426464810
",77
Me and nonstop quit cod,0.0026066958899197486,3,943,"1426885482
",39
