Node,Page Rank,Frequency,Follower Count,Timestamp,Conflation
The 'EX' Fecked her#N#,0.003671234539646692,1,1934,"1424180527
",236
The Mung and the Restless,0.0037212342879771993,1,118,"1424147595
",242
All in My Family#N#,0.0031937369770618767,1,182,"1424145405
",158
Orange is the New Plaque,0.0014043179148901803,1,118,"1424146795
",72
How I Wet Your Mother,0.001437616997243907,3,2778,"1424145652
",31
Million Pound Plop,0.0002920295571089047,1,989,"1424180164
",1
Snatch of the Day,0.0019939137304779172,5,1933,"1424178803
",100
Analingus,0.00028190189813944745,1,1321,"1424151432
",0
Turd-er She Wrote,0.0007654458937471135,1,234,"1424145514
",6
It Ain't Half Hot Cum.,0.000971095528953538,1,206,"1424182758
",37
So You Think You're Not Racist,0.0006779031730092008,1,1132,"1424145752
",6
The Rise and Fall of Reginald Perrin's phallus #N#,0.004368989516758611,1,1934,"1424178173
",327
King of Queefs,0.0011831873907364072,1,1128,"1424183088
",50
"America's Fartiest Videos#N#""...and this is backstage after the 4th of July hot dog eating contest.""#N#PHHRRRTTT!!!#N#",0.003910803603862746,1,690,"1424147454
",271
3rd Rock To The Head,0.002197638572601331,1,21,"1424167431
",162
Humphrey Lyttelton's Jizz Show,0.0013093167630467979,1,1933,"1424179503
",61
Thunder Cunts,0.00028190189813944745,1,1178,"1424164884
",0
Yeast Enders,0.0005151776893445345,2,1178,"1424163972
",2
Two And A Half Menstrual Cycles,0.0010359278480451212,5,431,"1424145675
",31
Skids in the Hall,0.0018435368071651158,1,1178,"1424164839
",80
Cyst and the City,0.0021612913300760634,3,235,"1424148134
",98
", Drive- ins, and that white haired dude",0.0010964032395403426,1,1557,"1424148208
",55
Back Fat on Titan,0.0004541813578057432,1,652,"1424146341
",12
the very high chaparal,0.001218386062410782,1,297,"1424184422
",57
Monday night sweaty ball,0.00028190189813944745,1,39,"1424146371
",0
Boston Pubic,0.0008216669544818013,4,2310,"1424150499
",3
Dancing with SARS,0.0009490011199333374,1,64,"1424146911
",12
The Secret Diarrhoea of Adrian Mole,0.0025251815580632758,1,63,"1424163613
",185
Parks and Regurgitation,0.0014060637579609277,3,2778,"1424145468
",50
Robot Warts,0.00031940036011050057,1,1165,"1424178836
",1
The Public Access Masturbator featuring Bob Ross,0.0018273179341026606,1,1271,"1424145602
",156
The Cucks of Hazard,0.003073258124209868,1,793,"1424145520
",185
"Wheelchair of Flatulence #N#""Hold him down, Vanna and Mr. Hawking will fart on him.""#N#",0.002898327696888017,1,690,"1424145681
",210
Everybody Rubs Raymond #N#,0.0027208508683347022,1,47,"1424165420
",127
“@davidamackey: The CBS Children's Phlegm Festival #DisgustingTvShows http:\/\/t.co\/ZUmpbm5Wb3” That's definitely Disgusting!!! Yuk!!,0.002571936214392615,1,1843,"1424145387
",222
