Node,Page Rank,Frequency,Follower Count,Timestamp,Conflation
Legit #online jobs: http:\/\/t.co\/Cvqc6hAFSI Updated May 2014! New Mobile http:\/\/t.co\/9PgJkJQhju,0.0015514710811803411,1,79,"1431184162
",635
Working #with your inner child: http:\/\/t.co\/0VQMFIuULv Improve http:\/\/t.co\/IB6EYlvRlo,0.0016360694852950916,1,58,"1428532264
",660
'Limited Edition' Sneak Peek 1! Guess the item FOLLOW+RT for a chance to #WIN it! http:\/\/t.co\/QfeOlAcJey,0.0013019975163574393,1,57612,"1414857603
",713
What an awesome selection! ✨ Great pieces from the #KatyPerryPrismCollection 😸,0.0003339369523133799,3,4826,"1433266225
",205
Secrets to #extreme #couponing: http:\/\/t.co\/AuFKVg9dxB Learn Some Awesom http:\/\/t.co\/IHv5Ag1qXV,0.0016270071575619353,1,74,"1425576615
",656
Submit #equalizer: http:\/\/t.co\/iXxTYAVM7C Automate Your Website Submissi http:\/\/t.co\/8lKAvfchVI,0.0016031612302273525,1,36,"1430668484
",633
Worldwide #email address finder.: http:\/\/t.co\/JrmaUBRhbK The Wo http:\/\/t.co\/nFGTA2jt2o,0.0016350254568954813,1,47,"1433940677
",645
When Katy throwed the #KatyPerryPRISMCollection http:\/\/t.co\/6R2fY7udI0,0.0015053076956347245,2,80,"1435683423
",709
Cherry earrings 😊,0.0007736942299259728,1,182,"1422519703
",50
Fireworks #pyro #projects ebook: http:\/\/t.co\/TyG85bULO6 120+ fi http:\/\/t.co\/iULgGTVO6Q,0.001605411651144697,1,70,"1434093936
",633
The #bulimia recovery program: http:\/\/t.co\/v5YGQtTjga A Members http:\/\/t.co\/seyVuYWnuX,0.0016399022651943603,1,59,"1426814928
",637
Home #made strength 2 - grip strength edition: http:\/\/t.co\/PXpu5bvWei Gr http:\/\/t.co\/tLdThA2PR3,0.0014882894190580704,1,47,"1423164876
",637
Sneak Peek 3 Cherry earrings,0.0007249381227213765,1,353,"1422362694
",138
Beat #water retention and lose weight: http:\/\/t.co\/8OB6ALeQMD D http:\/\/t.co\/Jr5Wry8pfm,0.0016039471836429894,1,74,"1434549026
",661
Stacking Burger Ring...where's the gherkin?! 😉,0.0005503024629128991,1,1034,"1422275662
",222
Six #degree flow: http:\/\/t.co\/ZmaKvRM34D Proven Method To Burn http:\/\/t.co\/xygzH3xuj6,0.0015776223529698455,1,53,"1423100568
",633
http:\\/\\/t.co\\/ycvnkckley,0.0001847859562673237,1,407,"1416916535
",0
Socrates #premium wordpress theme: http:\/\/t.co\/dXslyONMat Creat http:\/\/t.co\/3y8rj3veOH,0.001637160708027294,1,28,"1421730947
",633
Traktor #basics course: http:\/\/t.co\/SYY0dYKmpi Helvetica Neue. http:\/\/t.co\/G8LFiIiItn,0.0016436440963604217,1,162,"1429201187
",634
Power #system jump start: http:\/\/t.co\/4fH76T3642 Discover How T http:\/\/t.co\/4fq8NLnms0,0.0015878285678702074,1,81,"1433059766
",634
Egyptian style #Lyon concert #KatyPerryPRISMCollection #clairesxkatyperry http:\/\/t.co\/a1cdcNhN2i,0.0013318850017620522,1,4959,"1424466366
",688
earrings #KatyPerryPRISMCollection #EatURHeartOu t,0.0010924860274894388,1,183,"1422328229
",697
Wow.youre #hired.: http:\/\/t.co\/1wdbbQ1q8S On your very next job intervie http:\/\/t.co\/kXxJqPKls6,0.0015333595610679597,1,63,"1429998828
",660
I want to,0.0003938632911470598,1,945,"1422145679
",205
Six #degree flow: http:\/\/t.co\/En2tXut3O6 Proven Method To Burn http:\/\/t.co\/ZCpsDvVjGc,0.0015776223529698453,1,64,"1429957458
",633
30 day #guide to paleo: http:\/\/t.co\/0drYftaxLM The Paleo Diet Was The Ho http:\/\/t.co\/5nX8qw8Buy,0.001529287092087511,1,11,"1421438008
",658
My Aunt is cooler than yours... 💖💎 #katyperryprismcollection http:\/\/t.co\/ogyixQySAc,0.0011699890596574226,1,450,"1430165956
",638
Summer #eats - paleo recipes clean cocktails: http:\/\/t.co\/REbPBvRX3Y Sum http:\/\/t.co\/FPnc3776x8,0.0015710248037974503,1,59,"1421623618
",633
Sneak Peek 5! Guess the item FOLLOW+RT for a chance to #WIN it! http:\/\/t.co\/ysaGCmZHZG,0.0013507382165559054,64,25925,"1422471607
",713
Heading to concert!! @Avery_Winter #KatyPerry #KatyCats #KatyPerryPRISMCollection http:\/\/t.co\/o3Myyqi6OA,0.0013548555153191188,8,12900,"1412294882
",699
Worldwide #house sitting directory: http:\/\/t.co\/GVxgRD5OOp Home Owners S http:\/\/t.co\/MEOGJB6vnW,0.0015731070776492356,1,70,"1422287943
",633
"Makes sense now!#KatyPerryPRISMCollection #EatYourHeartOut Check local @ClairesStores for new earrings,necklaces,ect! http…",0.0007470297639374722,7,5677,"1420601659
",705
Almost ready for @katyperry's concert in Lyon ! #ClairesxKatyPerry#N##KatyperryPRISMcollection @ClairesEurope http:\/\/t.co\/NhwKe…,0.0011160079618990346,4,92,"1424463280
",666
Target abs: http:\/\/t.co\/FId1zaPxZ5 Discover the 5 fitness myths http:\/\/t.co\/GjsPDE5bvM,0.0016386677753120965,1,71,"1430375122
",680
Instant #natural colic relief: http:\/\/t.co\/8gKPA05Bck High Demand And Ev http:\/\/t.co\/7sbSfgb6Ez,0.0015363227671682498,1,72,"1433357370
",633
Learn #chinese mandarin course and dvd: http:\/\/t.co\/uKKXzbbmKp Get Acces http:\/\/t.co\/fqKwl7OCJJ,0.0015809858156409027,1,24,"1424156485
",662
CONGRATS @JennyFormica you're the #KatyPerryPRISMCollection #EatURHeartOut Sneak Peek 2 WINNER! DM us your full name and…,0.0006383570662366454,10,189,"1422493180
",386
macaroon phonecase,0.00029247336230289896,1,783,"1422388063
",7
"John s #world of xv: http:\/\/t.co\/nNebbwy73i The Official Home Of Xv, An http:\/\/t.co\/sFGaN1OzM3",0.001511848377052715,1,150,"1435549326
",646
