Node,Page Rank,Frequency,Follower Count,Timestamp,Conflation
,0.0010626992561105207,3,1013,"1425138741
",26
I check my countdown app multiple times a day as if it's going to change. 😩,0.0013942848648727318,1,1075,"1421123969
",751
I'm planning to give lola a gift. 👵💕,0.0013737507380946795,1,150,"1426037966
",642
I swear i'd kick him in the balls if I knew what half these words meant,0.001233775005463724,1,1231,"1428966825
",622
wish i could of seen sam today #longdistanceproblems 😴😴💁,0.000570274780560124,2,219,"1423946607
",313
"Another woman cleaning my bf's house and doing his laundry I can handle for now, but sewing his clothes? Not so cute.",0.0010949395820407538,1,151,"1431744139
",737
Here's to 2 years in a row not being able to see my valentine! #longdistanceproblems can't wait for spring break tho!,0.001517305250557313,1,229,"1423199113
",793
pretty cute surprise message from all-time bae🙆💙👭 #longdistanceproblems @robynduncan_x http:\/\/t.co\/iO0sEIz5ut,0.0008156081359659827,2,2130,"1420931844
",408
Date night is me eating salsa in my pajamas #longdistanceproblems (but look at him 😍) http:\/\/t.co\/lOTxg8HU5R,0.0012418509936824415,1,361,"1433724292
",698
I would do just about anything for a date night with Jordan this weekend.,0.001173216711810242,1,270,"1426698202
",685
I wish you were here!!!!! 😭😭😭😭 I wanna adventure with you!!,0.0014936153954195493,2,2279,"1429205850
",605
"There’s nothing worse than dreaming about being with him, waking up and them nowhere to be found. #longdistanceproblems 😔",0.0010714169131072664,1,59,"1425837889
",706
"I wanna lay down next to you every night, forever.",0.0012836480037693454,1,185,"1425390009
",667
Or just staying in. Just being together. I miss that so much.,0.0010680068029202104,5,122,"1425145777
",597
I'll have seen @taralauren more in the past three weeks than I have the past six months,0.001245370054594188,3,566,"1427134711
",605
"I wish you were here, or I was there, or we were together anywhere.",0.0011252282490164648,1,114,"1425799983
",574
The struggle is real #LongDistanceProblems #LifeOfAMilitaryGirlfriend 😂😂😂 http:\/\/t.co\/t7UtIB1Sx9,0.0008334152200732338,1,396,"1430346234
",361
. my phone conversations with @reK_music 😂🙈💙,0.0007904239797752171,1,322,"1421386690
",336
