Node,Page Rank,Frequency,Follower Count,Timestamp,Conflation
Clifford the Big Red Reservoir Dog,0.00018571134407787088,1,418,"1428448631
",1737
"""The Babysitter's Fight Club""",0.0002503519953057591,1,31,"1428447872
",2158
"Mona the depressed middle aged woman with three kids, a divorce and a crappy job.",0.00020582267817791916,2,1301,"1428449578
",2479
Barney and Friendzones#N##N#,0.0002530382550660248,1,88,"1428453669
",1567
Tom &amp; Jerry Just Sit Around Eating Ben &amp; Jerry,6.543540607276661e-05,3,1551,"1428438294
",257
Dora The Serial Killer.,0.00020000429058494447,1,965,"1428448014
",1626
"You're Under Arrest, Charlie Brown",5.298429963558024e-05,1,952,"1428456581
",189
Boy Meets 3rd World Living Conditions,5.842170150740778e-05,1,4970,"1428445709
",133
Clifford the Big Red Scare #MakeAKidShowSerious http:\/\/t.co\/CXN4RtpMgT,0.0002598111212826139,1,20,"1428448676
",2328
Wuzzles Get Muzzles,2.971265017704774e-05,1,342,"1428452755
",36
Hey Arnold and his pedophile grandpa.,0.00012608358113083812,1,934,"1428455036
",934
Sam &amp; Cat Get #Lyme #Disease#N##MakeAKidShowSerious #N#http:\/\/t.co\/FxQusf3NOt,0.0002462326317183231,1,259,"1428449303
",1621
The Power Hour Girls #MakeAKidShowSerious http:\/\/t.co\/SVhYO1ilrm,0.0002677886908104329,1,190,"1428467293
",2170
Mr. Rogers' Whites-Only Neighborhood,5.8835555615716604e-05,2,180,"1428454082
",138
"""The Street Life of Zack and Cody""",0.00029029753513923085,1,306,"1428455532
",2695
Where on Earth is Carmen Sandiego Buried?#N#,0.0001421373997744327,1,1094,"1428445192
",1237
Calliou:  The Intervention Special,0.00018546449061727184,1,11,"1428451374
",1491
The Teletubbies Weight Loss Show,0.00017008451375824022,1,88,"1428448079
",1485
PeeWee's Trap House,0.00014315832106253948,1,218,"1428447760
",898
Ash falls into a deep depression and commits suicide after pikachu dies and he failed to become the best that ever was,0.0002101152033659227,1,270,"1428446470
",2667
Mickey Mouse Trap House,7.284222383827778e-05,1,450,"1428460360
",214
The hashtag #MakeAKidShowSerious took the 13th place in the Top20 of United Kingdom's Trends for Wednesday 8: http:\/\/t.c…,0.00037663995784662885,2,252564,"1428615790
",4331
Recess in Prison,7.28040662621444e-05,1,14,"1428451282
",411
The Fundamental Transformers,0.0002040410532598952,1,166,"1428481592
",1474
Sponge Bob's Shit Pants#N#,0.00022251625572745112,6,8681,"1428462850
",1614
Full Metal House,6.232508029284254e-05,1,9,"1428456958
",167
Where the Hell is Carmen Sandiego!,0.0001883473815983744,1,10,"1428454567
",1805
Fat Albert &amp; The Cosby Kids from the Rapes Cosby Committed,0.0002351233658056009,1,38,"1428457995
",3180
Charles is Charged.,5.29292396173837e-05,1,623,"1428461686
",206
Foster's Home for the Schizophrenic,0.00025374449000145415,2,1220,"1428451163
",2394
Clifford The Bus Was Bigger#N##N#,0.00027431376852917654,1,1249,"1428447859
",2140
SpongeBob methpants,5.696216709130677e-05,1,232,"1428443103
",42
