Node,Page Rank,Frequency,Follower Count,Timestamp,Conflation
,0.0014084507042253533,1,361,"1409845761
",0
I liked a @YouTube video from @shazam http:\/\/t.co\/xYqSJw829B Fifth Harmony,0.01754683025414874,1,171,"1431015215
",67
"Take my body, take my body",0.004485156844486001,1,87,"1431107474
",10
Fifth Harmony #SongsThatChangedMyLife #N#https:\/\/t.co\/TOaEw58TQ3,0.016192778881603333,8,25,"1431015126
",55
"""@3min3m5: #SongsThatChangedMyLife Every single Eminem song.""",0.006036813080425063,1,500,"1407197312
",36
What if anything was possible#N#In the middle of the darkest storm#N#He became one of us 🙌#N#,0.005290193012084823,3,235,"1409616594
",22
"Madness House Of Fun.  First single I ever bought in 1982, I religiously followed them throughout the early 1980s.",0.006809126729008227,1,822,"1406141972
",47
Big Sean x Million Dollars,0.0030538848756611362,1,196,"1433525524
",5
http:\/\/t.co\/YMWGGOuCfS,0.012690821928935473,1,1172,"1411071780
",48
Could you paint me a Birmingham?,0.005383703665488616,2,22,"1431048721
",29
I liked a @YouTube video from @shazam http:\/\/t.co\/DQuh2lkDNZ Fifth Harmony,0.01754683025414874,1,49,"1431225520
",67
"""Hurts don't  it?"" and ""80 Proof"" by @MickieJames. My top 2 fav songs by her 👍",0.009224479340998473,4,676826,"1438014499
",67
I added a video to a @YouTube playlist https:\/\/t.co\/rkXd6XmyZS Fifth Harmony,0.016411727498062283,1,1080,"1451390299
",68
Twice x Little Dragon,0.003204107617005212,1,354,"1407506197
",5
"The Smiths, ""The Headmaster Ritual""",0.005868016401666866,1,991,"1406354874
",13
Fred Hammond - You Are My Daily Bread \/ Lord Of The Harvest - I’m not done! https:\/\/t.co\/a1951CJgqe,0.011562060426078902,1,6195,"1440234128
",74
"Fat Freddys Drop x Flashback cause ""I lose myself in youuuu""",0.006458483144845623,1,354,"1407507417
",41
http:\\/\\/t.co\\/ycvnkckley,0.0014084507042253533,1,407,"1416916535
",0
"is my ""little jar of happiness""#N#Fifth Harmony #SongsThatChangedMyLife https:\/\/t.co\/InE81eu0gq via",0.014896214389471241,1,1160,"1431089018
",69
Fifth Harmony #SongsThatChangedMyLife http:\/\/t.co\/UfX0gNYCUG,0.015899342529866762,5,3762,"1431023923
",53
I liked a @YouTube video from @shazam http:\/\/t.co\/fIbCvpw6VY Fifth Harmony,0.017546830254148743,5,4935,"1431018940
",67
yeah I lied. #SongsThatChangedMyLife Byron Cage - I Can't Hold It https:\/\/t.co\/Qldxfzg1qt via,0.014532149711487355,1,6195,"1440233867
",66
“The Sounds of Silence” —,0.005629644663277267,1,37,"1427065014
",19
I added a video to a @YouTube playlist http:\/\/t.co\/DdtSCJx9kw Fifth Harmony,0.01634867491190985,1,2,"1437584435
",68
"no so much one song, but one CD: self-titled debut",0.003149531823284362,1,48,"1438014879
",16
"Rolling Stones, ""Gimme Shelter""",0.0016442195051985333,1,991,"1406354780
",1
2Pac - Changes ft. Talent: https:\/\/t.co\/nsglKlcNPz -- My first contact with hiphop music.,0.009215538165811709,1,203,"1427469809
",57
"Can I start a new trend?? #SongsThatChangedMyLife  Mine was Sabbath's 'Paranoid', what was yours?",0.006781206673394112,1,392,"1405293371
",61
"""southern rock"" by the band Lynrd Skynrd",0.004898385103028297,1,80,"1431037357
",21
all of Mac Millers K.I.D.S album,0.005159920518726005,1,396,"1431092967
",38
"ah bon ? #SongsThatChangedMyLife ""Hurts don't  it?"" and ""80 Proof"" by @MickieJames. My top 2 fav songs by her 👍",0.009886928972348094,1,782,"1438014731
",71
these hoes ain't loyal.,0.0057378365523573505,4,668,"1436508456
",48
I dont like,0.0060294896735734954,3,514,"1416086830
",32
“@ErinKerns: #SongsThatChangedMyLife Superbass” as you guys can see it clearly changed my life.,0.006651949108102668,1,264,"1410206151
",38
When a song is so deep that it changes the way you see the world 🌎🌍🎵🎧😌😓 #songsthatchangedmylife #deep… https:\/\/t.co\/aak8gp2ZzC,0.011473055142992341,1,70,"1447407071
",76
Every single Eminem song.,0.004027204560965182,44,1345,"1442306533
",13
"Self Conclusion, Why? And The Promise...",0.003987280445559783,1,6,"1442453016
",13
I liked a @YouTube video from @shazam http:\/\/t.co\/XCiLr8hfnz Fifth Harmony,0.017546830254148743,1,1956,"1431343609
",67
baby -,0.0014084507042253533,1,230,"1431092608
",0
Fifth Harmony #SongsThatChangedMyLife https:\/\/t.co\/UbBlW3Rdlp via,0.015639924877013454,1,269,"1431016885
",53
Phresh Out The Runway,0.0055701581251191455,2,160,"1413117021
",14
I liked a @YouTube video from @shazam http:\/\/t.co\/fC0rgtokM8 Fifth Harmony,0.017546830254148743,1,925,"1431132530
",67
"Gn'R Welcome To The Jungle.  Back in 1988, the first hard rock song that cemented my love for proper music.",0.007022639375513315,1,822,"1406141849
",43
Fat Freddy's Drop - Flashback (Jazzanova´s Breathe Easy Remix),0.0025014596665381235,1,124,"1407620489
",7
Jimi Hendrix Voodoo Chile.  First song that blew my socks off completely back in 198,0.004638368817932765,1,822,"1406142172
",26
Writing songs in your blood.,0.002454422638550905,1,75819,"1431128191
",9
"ake my body, take my body",0.004240839012711105,1,87,"1431107451
",9
"""Nann"" By Trick Daddy and Trina. A spiritual tale of two lovers in the midst of a quarrel.",0.005332363549847289,1,1020,"1437970936
",43
My Shiny Teeth &amp; Me,0.0034359208570461613,1,423,"1443391506
",12
Fifth Harmony #SongsThatChangedMyLife https:\/\/t.co\/XThtoqXh0h via,0.015639924877013454,1,1419,"1431034597
",53
Marvin Sapp - You Are God Alone https:\/\/t.co\/ot8GeXT477 via @YouTube The harmonies.....,0.010895677185773864,1,6195,"1440233171
",59
