@RELATION socialList
@ATTRIBUTE char_length numeric
@ATTRIBUTE number_of_words numeric
@ATTRIBUTE presence_of_days {0,1}
@ATTRIBUTE presence_of_numbers {0,1}
@ATTRIBUTE presence_of_noun {0,1}
@ATTRIBUTE presence_of_adjective {0,1}
@ATTRIBUTE presence_of_verbs {0,1}
@ATTRIBUTE presence_of_adverb {0,1}
@ATTRIBUTE presence_of_pronouns {0,1}
@ATTRIBUTE pos_tag_entropy real
@ATTRIBUTE ratio_of_non_english_to_english_words real
@ATTRIBUTE search_results_titles {0,1}
@ATTRIBUTE class {0,1}
@DATA
whatkilledlucybeale, 22, 1, 0, 0, 1, 0, 1, 0, 1, 2.0, 1 , 1
askconceptkarim, 17, 1, 0, 0, 1, 0, 1, 0, 0, -0.0, 1 , 1
helpspreadawareness, 21, 1, 0, 0, 1, 0, 1, 0, 0, -0.0, 2 , 1
reasonyouwerefiredintwowords, 34, 1, 0, 1, 1, 0, 1, 0, 1, 2.80735492206, 2 , 1
gogreen4patricksday, 21, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 1 , 1
reasonsihatethemorning, 26, 1, 0, 0, 1, 0, 1, 0, 1, 1.92192809489, 2 , 1
styletipsformonday, 21, 1, 1, 0, 1, 0, 0, 0, 0, 1.5, 1 , 1
whatstrendingtoday, 21, 1, 0, 0, 1, 0, 1, 0, 1, 2.0, 2 , 1
fightlikeagirl, 17, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 2 , 1
jackofalltrades, 18, 1, 0, 0, 1, 0, 0, 0, 0, 2.0, 1 , 1
whatarefriendsfor, 20, 1, 0, 0, 1, 0, 1, 0, 1, 2.0, 2 , 1
greatestofalltime, 20, 1, 0, 0, 1, 1, 0, 0, 0, 2.0, 2 , 1
reasonstobecheerful, 22, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
perksofbeingagirl, 21, 1, 0, 0, 1, 0, 1, 0, 0, 2.32192809489, 2 , 1
proudtobeenglish, 19, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
tweetlikeagirl, 17, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 2 , 1
harrypotterpickuplines, 26, 1, 0, 0, 1, 0, 1, 0, 0, 1.92192809489, 1 , 1
liveinthemoment, 18, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 2 , 1
stoptwitterspam, 17, 1, 0, 0, 1, 0, 1, 0, 0, 0.918295834054, 1 , 1
getarealjob, 14, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
besttimeoftheyear, 21, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
worlddreamin6words, 21, 1, 0, 1, 1, 0, 1, 0, 0, 0.811278124459, 2 , 1
3questionstomancio, 22, 1, 0, 1, 1, 0, 0, 0, 0, 1.92192809489, 2 , 1
30daystillinsurgent, 21, 1, 0, 1, 0, 1, 0, 1, 0, 1.58496250072, 2 , 1
71daysofrobbie, 17, 1, 0, 1, 1, 0, 0, 0, 0, 2.0, 1 , 1
helpbringbellahome2015, 26, 1, 0, 1, 1, 0, 1, 0, 0, 1.37095059445, 1 , 1
